index,model,tipus,snormatiu,sno_normatiu,pnormatiu,pno_normatiu
0,BSC-LT/salamandra-7b,caiguda_prep,Em refereixo al que va cantar.,Em refereixo a que va cantar.,5.521104335784912,5.800073146820068
1,BSC-LT/salamandra-7b,caiguda_prep,Parlo del que va sortir l’altre dia al diari,Parlo de que va sortir l’altre dia al diari,3.978881120681762,3.833086252212525
2,BSC-LT/salamandra-7b,caiguda_prep,Depèn del que decideixin els experts.,Depèn de que decideixin els experts.,4.384488582611084,5.155601501464844
3,BSC-LT/salamandra-7b,caiguda_prep,No es recorda del que li vaig explicar.,No es recorda de que li vaig explicar.,5.354294300079346,5.611465930938721
4,BSC-LT/salamandra-7b,caiguda_prep,No m’havia adonat del que estava equivocat.,No m’havia adonat de que estava equivocat.,3.709407806396485,3.449049711227417
5,BSC-LT/salamandra-7b,caiguda_prep,Em refereixo al que va fer una nova pel·lícula.,Em refereixo a que va fer una nova pel·lícula.,4.058165073394775,4.062150001525879
6,BSC-LT/salamandra-7b,caiguda_prep,Parlo del que moure la caixa de lloc. ,Parlo de que moure la caixa de lloc. ,6.143495559692383,5.7049336433410645
7,BSC-LT/salamandra-7b,caiguda_prep,Depèn del que vulgin fer.,Depèn de que vulgin fer.,4.77679443359375,5.464385986328125
8,BSC-LT/salamandra-7b,caiguda_prep,No es recorda del que va veure aquell dia.,No es recorda de que va veure aquell dia.,4.498668193817139,4.931491851806641
9,BSC-LT/salamandra-7b,caiguda_prep,No m'havia adonat del que estava mal col·locat.,No m'havia adonat de que estava mal col·locat.,3.200523853302002,3.055111885070801
10,BSC-LT/salamandra-7b,a_od,Això afecta el trànsit aeri.,Això afecta al trànsit aeri.,5.216104984283447,5.236165523529053
11,BSC-LT/salamandra-7b,a_od,He vist el cotxe nou.,He vist al cotxe nou.,5.145542621612549,6.152061939239502
12,BSC-LT/salamandra-7b,a_od,L’entrenador felicitarà els jugadors després del partit.,L’entrenador felicitarà als jugadors després del partit.,3.608778715133667,3.6301040649414062
13,BSC-LT/salamandra-7b,a_od,L’empresa vol formar els seus treballadors.,L’empresa vol formar als seus treballadors.,4.1954450607299805,4.265915870666504
14,BSC-LT/salamandra-7b,a_od,Estic esperant el professor per resoldre un dubte.,Estic esperant al professor per resoldre un dubte.,4.765780448913574,4.8319411277771
15,BSC-LT/salamandra-7b,a_od,Han acomiadat el empleats més antics de l’empresa.,Han acomiadat al empleats més antics de l’empresa.,4.495141506195068,4.502742767333984
16,BSC-LT/salamandra-7b,a_od,Sempre ajuda els seus companys quan ho necessiten.,Sempre ajuda als seus companys quan ho necessiten.,5.107345104217529,4.9499359130859375
17,BSC-LT/salamandra-7b,a_od,El professor ha avisat els alumnes sobre el canvi d’horari.,El professor ha avisat als alumnes sobre el canvi d’horari.,3.407715082168579,3.392650842666626
18,BSC-LT/salamandra-7b,a_od,El jutge ha interrogat els testimonis del cas.,El jutge ha interrogat als testimonis del cas.,4.266679286956787,4.405411720275879
19,BSC-LT/salamandra-7b,a_od,Han seleccionat els millors candidats per al lloc de feina.,Han seleccionat als millors candidats per al lloc de feina.,4.14312744140625,4.348514556884766
20,BSC-LT/salamandra-7b,com_reg,Al restaurant fa molta olor de fregit.,Al restaurant fa molta olor a fregit.,4.479429244995117,4.548370361328125
21,BSC-LT/salamandra-7b,com_reg,Tinc por de les aranyes.,Tinc por a les aranyes.,5.241710662841797,5.38523006439209
22,BSC-LT/salamandra-7b,com_reg,El meu horari és diferent del teu.,El meu horari és diferent al teu.,3.826664447784424,3.82790470123291
23,BSC-LT/salamandra-7b,com_reg,La solució del problema és molt senzilla.,La solució al problema és molt senzilla.,3.909067153930664,3.8240694999694815
24,BSC-LT/salamandra-7b,com_reg,La noia va aprofitar per treure profit de la situació i va guanyar molts diners.,La noia va aprofitar per treure profit a la situació i va guanyar molts diners.,3.325424671173096,3.5632317066192627
25,BSC-LT/salamandra-7b,com_reg,Va fer cas de les recomanacions del metge.,Va fer cas a les recomanacions del metge.,4.036509037017822,4.107000350952148
26,BSC-LT/salamandra-7b,com_reg,Sento una forta pudor de cremat a la cuina.,Sento una forta pudor a cremat a la cuina.,3.660164833068848,4.072701454162598
27,BSC-LT/salamandra-7b,com_reg,L’article fa esment de diverses investigacions recents.,L’article fa esment a diverses investigacions recents.,4.17515754699707,4.234624862670898
28,BSC-LT/salamandra-7b,com_reg,Va mostrar un clar rebuig de la proposta.,Va mostrar un clar rebuig a la proposta.,4.536149978637695,4.303799152374268
29,BSC-LT/salamandra-7b,com_reg,Hauries de fer un bon repàs de la matèria abans de l’examen.,Hauries de fer un bon repàs a la matèria abans de l’examen.,2.6804330348968506,2.7557621002197266
30,BSC-LT/salamandra-7b,alt_prep,Tenim molt d'interès a complir els nostres compromisos.,Tenim molt d'interès en complir els nostres compromisos.,3.577180862426758,3.45984959602356
31,BSC-LT/salamandra-7b,alt_prep,La idea consisteix a analitzar els models.,La idea consisteix en analitzar els models.,5.751908302307129,5.727000236511231
32,BSC-LT/salamandra-7b,alt_prep,La majoria d'estudiants es van mostrar d'acord a fer una pausa.,La majoria d'estudiants es van mostrar d'acord en fer una pausa.,2.9899344444274902,2.9477314949035645
33,BSC-LT/salamandra-7b,alt_prep,La van amenaçar de despatxar-la.,La van amenaçar amb despatxar-la.,4.595126152038574,4.548052310943604
34,BSC-LT/salamandra-7b,alt_prep,Insisteixen a tornar cap a casa.,Insisteixen en tornar cap a casa.,4.616819858551025,4.641561031341553
